transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link
11/10/2020,Spouse,BYND,"Beyond Meat, Inc.",Stock,Sale (Full),"$50,001 - $100,000",--,Ron L Wyden,https://efdsearch.senate.gov/search/view/ptr/a0010f4a-c31a-4824-8b6d-6399b3ccb6f0/
11/16/2020,Spouse,BA,The Boeing Company,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/16/2020,Spouse,V,Visa Inc.,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/24/2020,Spouse,COST,Costco Wholesale Corporation,Stock,Purchase,"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/04/2020,Spouse,COST,Costco Wholesale Corporation,Stock,Sale (Full),"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/09/2020,Spouse,BA,The Boeing Company,Stock,Sale (Full),"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/11/2020,Spouse,--,msft,Stock,Purchase,"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/04/2020,Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Full),"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/17/2020,Joint,W,Wayfair Inc.,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/16/2020,Spouse,DAL,"Delta Air Lines, Inc.",Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
11/16/2020,Spouse,--,Walmart Inc.,Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/b7e581e7-f154-4dc7-890d-1c827c88ba7a/
